Каково русское название книги, из которой взят этот текст?;Python. Карманный справочник
Что делает метод `__floordiv__`?;Вызывается в операции self // другое.
Что делает метод `__mod__`?;Вызывается в операции self % другое.
Что делает метод `__divmod__`?;Вызывается в операции divmod(self, другое).
Что делает метод `__pow__`?;Вызывается в операциях pow(self, другое [, по модулю]) и self ** другое.
Что делает метод `__lshift__`?;Вызывается в операции self << другое.
Что делает метод `__rshift__`?;Вызывается в операции self >> другое.
Что делает метод `__and__`?;Вызывается в операции self & другое.
Что делает метод `__xor__`?;Вызывается в операции self ^ другое.
Что делает метод `__or__`?;Вызывается в операции self | другое.
Какие методы являются правосторонними аналогами методов, перегружающих двоичные операторы?;Методы, имена которых начинаются с префикса 'r', например __add__ и __radd__.
Как вызываются методы для правосторонних операций над двоичными числами?;Они вызываются только если экземпляр указывается справа, а левый операнд не является экземпляром класса, реализующего данную операцию.
Что происходит при операции 'экземпляр + неэкземпляр'?;Выполняется метод __add__.
Что происходит при операции 'экземпляр + экземпляр'?;Выполняется метод __add__, а если левый операнд не реализует операцию, то __radd__.
Какой метод вызывается при операции 'экземпляр + экземпляр', если левый операнд не реализует сложение?;Метод __radd__.
Что происходит при использовании экземпляров двух разных классов, где операция перегружается?;Предпочтение отдается методу из класса левого экземпляра.
Какие методы называются комбинированными (непосредственного) присваивания?;Методы __iadd__, __isub__, __imul__, __itruediv__, __ifloordiv__, __imod__, __ipow__, __ilshift__, __irshift__, __iand__, __ixor__, __ior__.
Какие операторы вызывают методы комбинированного присваивания?;+=, -=, *=, /=, //=, %=, **=, <<=, >>=, &=, ^=, |=.
Что должны делать методы комбинированного присваивания?;Пытаться выполнить операцию непосредственно, видоизменяя объект self и возвращая результат, который может быть и самим self.
Что происходит, если метод __iadd__ не определен для выражения X += Y?;В качестве резервного варианта вызывается обычный метод __add__ или __radd__.
Какие методы относятся к другим операциям над числами?;__neg__, __pos__, __abs__, __invert__, __complex__, __int__, __float__, __round__, __index__.
Какой метод вызывается для операции -self?;__neg__.
Какой метод вызывается для операции +self?;__pos__.
Какой метод вызывается для операции abs(self)?;__abs__.
Какой метод вызывается для операции ~self?;__invert__.
Какой метод вызывается для операции complex(self)?;__complex__.
Какой метод вызывается для операции int(self)?;__int__.
Какой метод вызывается для операции float(self)?;__float__.
Какой метод вызывается для операции round(self [, n])?;__round__.
Какой метод вызывается для реализации оператора index() и в контекстах, где требуется целочисленный объект?;__index__.
Что должен возвращать метод __index__?;Целочисленное значение.
Какие методы относятся к операциям с дескрипторами?;__get__, __set__, __delete__.
Какой метод вызывается для получения атрибута из класса-владельца или экземпляра?;__get__.
Какие аргументы принимает метод __get__?;__get__(self, экземпляр, владелец).
Какой метод вызывается для установки нового значения атрибута в экземпляре класса-владельца?;__set__.
Какой метод вызывается для удаления атрибута из экземпляра класса-владельца?;__delete__.
Для чего используется СТСЯ?;Для установки атрибута в экземпляре класса-владельца.
Какие классы поддерживают дескрипторы и их методы?;Классы нового стиля, включая все классы в версии 3.Х, и классы нового стиля в версии 2.Х.
Что такое дескриптор данных?;Дескриптор с методом __set__.
Какие методы реализуют протокол диспетчера контекста?;__enter__(self) и __exit__(self, тип, значение, объект обратной трассировки стека).
Что возвращает __enter__?;Значение, которое присваивается адресату, указанному в выражении as оператора with.
Какие значения принимают параметры __exit__ при выходе без исключения?;Все три аргумента принимают значение None.
Что возвращает __exit__ для предотвращения распространения исключения?;Истинное значение.
Какие методы перегрузки операторов доступны только в Python 3.Х?;__round__, __bytes__, __bool__, __next__, __truediv__, __index__.
Какой метод в Python 2.X используется вместо __bool__?;Метод __nonzero__ или __len__.
Какой метод в Python 2.X используется вместо __next__?;Метод next.
Какие методы перегрузки операторов доступны только в Python 2.X?;__cmp__, __nonzero__, __getslice__, __setslice__, __delslice__.
Что делает метод __cmp__?;Вызывается в операциях сравнения, возвращает -1, 0 или 1, если объект self меньше, равен или больше другого.
Какой метод используется для сортировки в Python 3.X?;Метод __lt__.
Что делает метод __getslice__?;Вызывается в операции self[low:high] для нарезки последовательности.
Как вызывается __getslice__, если он не определен?;Объект нарезки передается методу __getitem__.
Какие методы для операций нарезки (срезов) были исключены в Python 3.X?;Методы `__getslice__`, `__setslice__` и `__delslice__` были полностью исключены в Python 3.X. Вместо них в операциях нарезки вызываются методы `__getitem__`, `__setitem__` или `__delitem__` с объектом нарезки в качестве аргумента.
Что делает метод `__setslice__` в Python 2.X?;Метод `__setslice__(self, low, high, значение)` вызывается в операции `self[low:high] = значение` для присваивания заданного значения нарезке последовательности. В Python 2.X он считается нерекомендованным к употреблению.
Что делает метод `__delslice__` в Python 2.X?;Метод `__delslice__(self, low, high)` вызывается в операции `del self[low:high]` для удаления нарезки последовательности. В Python 2.X он считается нерекомендованным к употреблению.
Как изменились методы для операции деления `/` в Python 3.X по сравнению с Python 2.X?;В Python 3.X методы `__div__`, `__rdiv__` и `__idiv__` относятся к категории методов `__truediv__`, `__rtruediv__` и `__itruediv__`, поскольку операция `/` всегда означает настоящее деление. Для поддержки обеих моделей деления в одном методе можно выполнить присваивание `__truediv__ = __div__`.
Что произошло с методом `__long__` в Python 3.X?;В Python 3.X тип `int` полностью включает в себя тип `long`, поэтому метод `__long__` исключен из данной версии.
Что делает метод `__oct__` в Python 2.X и как он изменился в Python 3.X?;В Python 2.X метод `__oct__` вызывается в операции `oct(self)` и возвращает строковое представление объекта в восьмеричной форме. В Python 3.X этот метод возвращает целочисленное значение для операции `__index__()`.
Что делает метод `__coerce__`?;Метод `__coerce__(self, другое)` вызывается в арифметическом выражении с разнотипными членами и функцией `coerce()`. Он возвращает кортеж `(self, другое)`, преобразуемый к общему типу. Обычно вызывается перед любыми попытками вызвать конкретный метод перегрузки операторов.
Что делает метод `__unicode__` в Python 2.X и какой его аналог?;В Python 2.X метод `__unicode__(self)` вызывается в операции `unicode(self)` для возврата символьной строки в уникоде для объекта self. Он является аналогом метода `__str__` в уникоде.
Как указывается метакласс в Python 3.X?;В Python 3.X следует использовать синтаксис присваивания именованных аргументов `metaclass=М` в строке заголовка класса, вместо атрибута класса `metaclass`.
Что такое встроенная область действия и как она называется в Python 2.X и Python 3.X?;Все встроенные имена (функций, исключений и прочего) существуют в подразумеваемой внешней встроенной области действия, которая соответствует модулю `builtins`, называемому `__builtin__` в версии Python 2.X.
Можно ли скрыть (затенить) встроенные имена в Python?;Да, имена встроенных функций не относятся к зарезервированным словам и могут быть скрыты (затенены) присваиванием одного и того же имени как в глобальных, так и в локальных областях действия.
Что делает функция `abs(N)`?;Возвращает абсолютное значение числа N.
Что делает функция `all(iterable)`?;Возвращает логическое значение True только в том случае, если истинны все элементы итерируемого объекта.
Что делает функция `any(iterable)`?;Возвращает логическое значение True только в том случае, если истинен любой элемент итерируемого объекта.
Что делает функция `ascii(object)`?;Аналогично функции `repr()`, возвращает символьную строку, содержащую выводимое на печать представление объекта, но экранирует управляющими последовательностями `\x`, `\u` или `\U` символы, не представленные в коде ASCII.
Что делает функция `bin(N)`?;Преобразует целое число в символьную строку двоичных цифр (по основанию 2). В итоге получается действительное в Python выражение.
Какой метод возвращает целое значение и для преобразования из двоичного числа использует int(string, 2)?;Метод __1паех()
Что возвращает функция bool([X])?;Возвращает логическое значение объекта X: False, если X ложное или пропущено, иначе True. Класс bool производный от int, имеет только экземпляры True и False.
Что такое bytearray и какие аргументы принимает его конструктор?;Bytearray — изменяемая последовательность целых от 0 до 255, выводимая в ASCII. Аргументы: строка с кодировкой, целый размер, итерируемый объект, объект с буферным интерфейсом или ничего.
Чем отличается bytes от bytearray?;Bytes — неизменяемая последовательность целых от 0 до 255, разновидность bytearray. Создается литералом 'ccc' в Python 3.X.
Что делает функция callable(объект)?;Возвращает True, если объект вызываемый, иначе False. В Python 3.0-3.1 отсутствовала, но возвращена в 3.2.
Что возвращает chr(I) и какая функция обратна ей?;Возвращает строку из одного символа по коду Unicode I. Обратная функция — ord(), например, chr(97) = 'a', ord('a') = 97.
Что такое classmethod(функция)?;Возвращает метод класса, который получает ближайший класс экземпляра как первый аргумент. Начиная с Python 2.4 можно использовать @classmethod.
Какие аргументы принимает compile(строка, имя_файла, вид, ...)?;Строка с кодом, имя_файла для ошибок, вид: 'exec', 'eval' или 'single'. Возвращает объект кода для exec() или eval().
Что делает функция complex() в Python?;Формирует объект комплексного числа, обозначаемого также суффиксом J или j: real+imag*j. По умолчанию аргумент imag равен нулю. Если оба аргумента опущены, возвращается 0j.
Как работает функция delattr(объект, имя)?;Удаляет атрибут имя (в виде символьной строки) из заданного объекта. Действует аналогично операции del объект.имя, но имя является символьной строкой, а не взятой буквально переменной.
Какие аргументы принимает функция dict() и что возвращает?;Возвращает новый словарь, инициализируемый из отображения, последовательности или другого итерируемого объекта, состоящего из пар ключ-значение, или ряда именованных аргументов. Если ни один аргумент не задан, возвращает пустой словарь.
Что возвращает функция dir() без аргументов и с аргументом?;Без аргументов возвращает список имен в текущей локальной области действия (пространстве имен). С аргументом (любой объект с атрибутами) возвращает список имен атрибутов, связанных с этим объектом, включая наследуемые атрибуты, отсортированный.
Что делает функция divmod(X, Y)?;Возвращает кортеж (X // Y, X % Y).
Как работает функция enumerate(итерируемый_объект, начало=0)?;Возвращает итерируемый объект типа enumerate. Метод next() итератора возвращает кортеж, содержащий подсчет (от начала или нуля по умолчанию) и соответствующее значение из итерируемого объекта. Удобна для получения индексируемых рядов позиций и элементов в циклах for.
Что делает функция eval(выражение, глобальные, локальные)?;Вычисляет выражение, представленное символьной строкой с выражением Python или объектом скомпилированного кода, в областях действия пространства имен вызываемой функции eval. Если переданы аргументы глобальные и/или локальные, используются указанные словари пространств имен. Возвращает результат вычисления.
Что делает функция exec(операторы, глобальные, локальные)?;Вычисляет аргумент операторы (символьную строку с операторами Python или объект скомпилированного кода). Если это строка, она синтаксически анализируется и выполняется. Аргументы глобальные и локальные действуют как в eval().
Как работает функция filter(функция, итерируемый_объект)?;Возвращает те элементы итерируемого объекта, для которых функция возвращает истинное значение (функция принимает один параметр). Если функция равна None, возвращаются все истинные элементы (равнозначно передаче bool).
Что такое итерируемый объект в Python 3.X?;Итерируемый объект формирует значения по требованию и допускает обход только один раз.
Для чего используется функция float()?;Преобразует число или символьную строку X в число с плавающей точкой (или 0.0, если аргумент не передан). Также обозначает имя класса подклассифицируемого типа.
Как работает функция format()?;Преобразует значение объекта в форматированное представление согласно спецификации формата. Вызывает значение.__format__(спецификация_формата).
Что возвращает frozenset()?;Возвращает объект закрепленного множества, элементы которого извлекаются из итерируемого объекта. Закрепленные множества неизменяемы и допускают вложение в другие множества.
Что делает функция getattr()?;Возвращает атрибут объекта по имени (символьной строке). Если атрибут отсутствует, возвращает значение по умолчанию или генерирует AttributeError.
Что возвращает globals()?;Словарь глобальных переменных в вызывающем коде (имена переменных в объемлющем модуле).
Как работает функция hasattr()?;Возвращает True, если объект содержит атрибут с заданным именем (символьная строка), иначе False.
Что такое hash()?;Возвращает хеш-значение объекта (целое число) для быстрого сравнения ключей в словаре. Вызывает объект.__hash__().
Для чего используется help()?;"Вызывает встроенную справочную систему. Без аргумента запускает интерактивный сеанс справки; со строкой — ищет модуль, функцию и т.д.; с объектом — показывает справку по нему."
Что делает функция hex()?;Преобразует целое число N в символьную строку шестнадцатеричных цифр (основание 16).
Что возвращает id()?;Целочисленное значение, однозначно определяющее идентичность объекта (например, его адрес в памяти).
Как работает __import__()?;Импортирует модуль по символьной строке имени во время выполнения. Вызывается операторами import и from, может быть переопределен.
Что делает функция input()?;Выводит приглашение (если задано), читает строку из stdin и возвращает её (без завершающего \n). При конце ввода генерирует EOFError.
Для чего используется int()?;Преобразует число или символьную строку в обычное целое значение.
Какое значение по умолчанию имеет аргумент `основание` при вызове `int()` со строкой?;10
Что делает функция `int()` при нулевом значении аргумента `основание`?;Определяет основание системы счисления из содержимого символьной строки (кодового литерала).
Какие значения может принимать аргумент `основание`?;Нулевое значение или значение от 2 до 36.
Что возвращает функция `int()` без аргументов?;Нулевое значение.
Что делает функция `isinstance(объект, сведения_о_классе)`?;Возвращает True, если объект является экземпляром указанного класса или любого его подкласса.
Каким может быть аргумент `сведения_о_классе` в `isinstance()`?;Кортежем классов и/или типов.
В чём различие `isinstance()` в Python 3.X и Python 2.X?;В Python 3.X типы представлены классами, поэтому нет особых случаев для типов. В Python 2.X второй аргумент может быть объектом типа.
Что делает функция `issubclass(класс1, класс2)`?;Возвращает True, если класс1 является производным от класса2.
Что может быть вторым аргументом `issubclass()`?;Кортеж классов.
Что делает функция `iter(объект)`?;Возвращает объект итератора для перебора элементов итерируемого объекта.
Какой метод имеют объекты итераторов?;Метод `__next__()`, который возвращает следующий элемент или вызывает `StopIteration`.
Какие аргументы принимает `iter()`?;Один или два аргумента: объект и необязательную сигнальную метку.
Что происходит при передаче двух аргументов в `iter()`?;Объект вызывается до тех пор, пока не вернёт сигнальную метку.
Как в Python 2.X назывался метод итератора, аналогичный `__next__()`?;`next()`
Что делает функция `len(объект)`?;Возвращает количество элементов (длину) коллекции.
Какие типы объектов может принимать `len()`?;Последовательности, отображения, множества или определяемые пользователем коллекции.
Что делает функция `list([итерируемый_объект])`?;Возвращает новый список, содержащий все элементы итерируемого объекта.
Что возвращает `list()` без аргументов?;Пустой список.
Что делает функция `locals()`?;Возвращает словарь локальных переменных вызывающего кода.
Что делает функция `map(функция, итерируемый_объект)`?;Применяет функцию к каждому элементу итерируемого объекта и возвращает результаты.
Что возвращает `map(abs, (1, -2))`?;1 и 2.
Как работает `map()` с несколькими итерируемыми объектами?;Функция получает по одному элементу из каждого объекта, итерация прекращается по достижении конца самого короткого объекта.
В чём различие `map()` в Python 2.X и Python 3.X?;"В Python 2.X возвращает список результатов; в Python 3.X возвращает итерируемый объект."
Что делает `map()` с аргументом `None` в Python 2.X?;"Накапливает элементы итерируемого объекта в списке; при нескольких объектах объединяет их в кортежи, заполняя None до длины самого длинного."
Какая функция в модуле itertools стандартной библиотеки Python 3.X предоставляет возможность, аналогичную max()?;Функция max() также имеется в модуле itertools, но встроенная функция max() описана в тексте.
Какова сигнатура функции max() в Python?;max(итерируемый_объект [, arg1* [, key=функция]])
Что возвращает функция max() с единственным аргументом — итерируемым объектом?;Возвращает элемент с наибольшим значением из непустого итерируемого объекта (например, строки, кортежа, списка, множества).
Что возвращает функция max() с несколькими аргументами?;Возвращает наибольшее значение среди всех переданных аргументов.
Для чего используется необязательный именованный аргумент key в функции max()?;Аргумент key обозначает функцию с одним аргументом для преобразования значения, аналогичную той, что применяется в list.sort() и sorted().
Что делает функция memoryview(объект)?;Возвращает объект представления памяти, создаваемый из заданного аргумента. Представления памяти позволяют получать из кода Python доступ к внутренним данным объекта без копирования.
Какие встроенные типы поддерживают протокол представления памяти?;Типы bytes и bytearray.
Какую функцию из Python 2.X заменила memoryview()?;Функцию buffer() и протокол буферизации.
Какова сигнатура функции min() в Python?;min(итерируемый_объект [, arg1*] [, key=функция])
Что возвращает функция min() с единственным аргументом — итерируемым объектом?;Возвращает элемент с наименьшим значением из непустого итерируемого объекта.
Что возвращает функция min() с несколькими аргументами?;Возвращает наименьшее значение среди всех аргументов.
Какую роль выполняет аргумент key в функции min()?;Ту же самую, что и в функции max(): функция преобразования значения.
Какова сигнатура функции next() в Python 3.X?;next(итератор [, по_умолчанию])
Что делает функция next()?;Извлекает следующий элемент из итератора, вызывая его метод __next__() (в Python 3.X).
Что происходит, если итератор исчерпан при вызове next()?;"Если передан аргумент по_умолчанию, возвращается он; иначе генерируется исключение StopIteration."
Какой метод итератора вызывался в Python 2.X вместо __next__()?;Метод next() итератора.
Какая функция возвращает новый бессодержательный объект и является суперклассом для всех классов нового стиля?;Функция object().
Что делает функция oct(N)?;Преобразует число N в символьную строку восьмеричных цифр (по основанию 8).
Какой метод должен быть определен у объекта типа int в Python 3.X, если он передается в oct()?;Метод __index__(), возвращающий целое значение.
Какой метод вызывается в Python 2.X для преобразования в oct()?;Метод __oct__().
Какова полная сигнатура функции open() в Python 3.X?;open(файл [, mode='r' [, buffering=-1 [, encoding=None [, errors=None [, newline=None [, closefd=True [, opener=None]]]]]]])
Что возвращает функция open()?;Новый файловый объект, связанный с внешним файлом. При неудаче генерирует исключение IOError (или OSError начиная с Python 3.3).
Чем может быть аргумент файл в функции open()?;Строковым объектом с именем файла (включая путь) или целочисленным дескриптором открываемого файла.
Что произойдет с дескриптором файла, переданным в open(), если closefd не установлен в False?;Дескриптор закроется вместе с возвращаемым объектом потока ввода-вывода.
Какое значение по умолчанию имеет параметр mode в функции open()?;Строка 'r' — открытие файла для чтения в текстовом режиме.
Какие значения может принимать параметр mode при открытии файла в Python?;'r' для чтения (по умолчанию), 'w' для записи с урезанием, 'a' для присоединения, 'b' для двоичного режима, 't' для текстового режима, '+' для обновления (чтения и записи).
Что происходит, если параметр encoding не указан в текстовом режиме?;Используется кодировка, зависящая от конкретной платформы, символы новой строки преобразуются в '\n' и наоборот.
Как открыть файл для чтения и записи исходных байтов без указания encoding?;Использовать режимы 'rb', 'wb' или 'ab'.
Какие режимы открытия файла доступны и для чего они предназначены?;'r' – чтение, 'w' – запись с урезанием, 'a' – запись в конец, 'b' – двоичный режим, 't' – текстовый режим, '+' – обновление, 'U' – универсальный перевод строки (для обратной совместимости).
Какой режим выбирается по умолчанию и чему он эквивалентен?;Режим 'r' (чтение) эквивалентен 'rt' (чтение текста).
Чем отличается режим 'w+b' от 'r+b'?;'w+b' открывает и урезает файл до нуля байтов, 'r+b' открывает файл без урезания.
Как в двоичном режиме возвращается содержимое файла?;В виде объектов bytes без декодирования в уникод или преобразования символов конца строки.
Как в текстовом режиме возвращается содержимое файла?;В виде символьных строк str после декодирования байтов с помощью указанной кодировки, с преобразованием символов конца строки.
Какого типа данные ожидаются для вывода в двоичном режиме?;Данные типа bytes или bytearray, которые записываются без изменений.
Какого типа данные ожидаются для вывода в текстовом режиме?;Данные типа str, которые кодируются в уникод с учетом параметра encoding, а символы перевода строки преобразуются перед записью.
Какое значение параметра buffering включает полную буферизацию?;Значение -1 (по умолчанию) или когда параметр не передан.
Можно ли отключить буферизацию и в каких режимах это разрешено?;Да, передав нулевое значение, но только в двоичном режиме.
Как включить буферизацию строк и полную буферизацию?;Буферизация строк (только в текстовом режиме) – значение 1, полная буферизация – целое значение больше 1 (размер буфера).
Как принудительно опорожнить буфер?;Вызовом file.flush().
Когда следует указывать параметр encoding?;Только в текстовом режиме.
Какая кодировка используется по умолчанию?;Кодировка базовой платформы, получаемая вызовом locale.getpreferredencoding().
Какие значения может принимать параметр errors?;'strict' (по умолчанию, генерирует ValueError), 'ignore' (игнорирует ошибки, может привести к потере данных), 'replace' (заменяет недостоверные данные маркером) и другие.
Какие значения может принимать параметр newline?;None (по умолчанию), '', '\n', '\r', '\r\n'.
Что происходит, если при вводе параметр newline равен None?;Активизируется режим универсального перевода строк.
Как обрабатываются символы окончания строки при чтении, если параметр newline равен None?;Последовательности символов '', '\n', '\r' или '\r\n' преобразуются в '\n' перед возвратом в вызывающий код.
Что происходит при чтении, если параметр newline равен '' (пустая строка)?;Режим универсального перевода строк активизируется, но символы окончания строки возвращаются в вызывающий код без преобразования.
Как обрабатываются строки при выводе, если параметр newline равен None?;Любая последовательность символов '\n' преобразуется в разделитель строк, используемый в системе по умолчанию (константа os.linesep).
Что происходит при выводе, если параметр newline равен '' (пустая строка)?;Никакого преобразования символов конца строки не происходит.
Что делает параметр closefd, когда он равен False?;Базовый дескриптор файла сохраняется открытым при закрытии файла.
Когда параметр closefd должен быть равен True?;Когда имя файла задается в виде символьной строки, иначе способ оказывается неработоспособным.
Что такое параметр opener в функции open() (начиная с Python 3.3)?;Вызываемый объект, который вызывается с аргументами (файл, признаки) для получения дескриптора файла, аналогично функции os.open().
Какой объект можно использовать в контекстах, где предполагается файл?;Любой объект, поддерживающий интерфейс метода файлового объекта, например, socketobj.makefile(), io.StringIO(str), io.BytesIO(bytes) в Python 3.X или StringIO.stringIO(str) в Python 2.X.
Что делает функция ord(C)?;Возвращает целочисленное значение кодовой точки единственного символа в строке C. Для ASCII это 7-разрядный код, в общем — кодовая точка в Unicode.
Что возвращает функция pow(X, Y[, Z])?;Возвращает значение X в степени Y, дополнительно по модулю Z, аналогично оператору **.
Какие параметры имеет функция print() и какие значения по умолчанию?;print([объект [, объект]*], sep=' ', end='\n', file=sys.stdout, flush=False). Аргументы sep, end, file, flush должны быть именованными. flush доступен с Python 3.3.
Как преобразуются неименованные аргументы print() перед выводом?;Преобразуются в символьные строки с помощью аналога функции str().
Что выводится, если ни один объект не передан в print()?;Выводится последовательность символов end (по умолчанию '\n').
Может ли аргумент file в print() быть не конкретным файлом?;Да, может быть любым объектом с методом write(строка).
Куда выводится print(), если аргумент file не передан или равен None?;В стандартный поток sys.stdout.
Что делает функция property([fget[, fset[, fdel[, doc]]])?;Возвращает атрибут свойства для классов нового стиля.
Что делает функция property() в Python?;Функция property() создает дескриптор для управления доступом к атрибуту. Она принимает аргументы fget (получение значения), fset (установка значения) и fdel (удаление значения). Может использоваться как декоратор @property.
Как работает функция range() с одним аргументом?;Если функции range() передается один аргумент конец, она возвращает целые значения от 0 до конец-1.
Как работает функция range() с двумя аргументами?;Если функции range() передаются два аргумента начало и конец, она возвращает целые значения от начало до конец-1.
Как работает функция range() с тремя аргументами?;Если функции range() передаются три аргумента (начало, конец, шаг), она возвращает целые значения от начало до конец-1 с заданным шагом. Шаг может быть больше 1 или отрицательным.
